;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
1D,05,0,046E
1D,05,1,046F
1D,06,0,0470
1D,06,1,0471
1D,07,0,0472
1D,07,1,0473
1D,08,0,0474
1D,08,1,0475
1D,09,0,0476
1D,09,1,0477
1D,0A,0,0478
1D,0A,1,0479
1D,0B,0,047A
1D,0B,1,047B
1D,0C,0,047C
1D,0C,1,047D
1D,0D,0,047E
1D,0D,1,047F
1D,0E,0,0480
1D,0E,1,0481
1D,0F,0,0482
1D,0F,1,0483
1D,10,0,0484
1D,10,1,0485
1D,11,0,0486
1D,11,1,0487
1E,00,0,0488
1E,00,1,0489
1E,01,0,048A
1E,01,1,048B
1E,02,0,048C
1E,02,1,048D
1E,03,0,048E
1E,03,1,048F
1E,04,0,0490
1E,04,1,0491
1E,05,0,0492
1E,05,1,0493
1E,06,0,0494
1E,06,1,0495
1E,07,0,0496
1E,07,1,0497
1E,08,0,0498
1E,08,1,0499
1E,09,0,049A
1E,09,1,049B
1E,0A,0,049C
1E,0A,1,049D
1E,0B,0,049E
1E,0B,1,049F
1E,0C,0,04A0
1E,0C,1,04A1
1E,0D,0,04A2
1E,0D,1,04A3
1E,0E,0,04A4
1E,0E,1,04A5
1E,0F,0,04A6
1E,0F,1,04A7
1E,10,0,04A8
1E,10,1,04A9
1E,11,0,04AA
1E,11,1,04AB
1F,00,0,04AC
1F,00,1,04AD
1F,01,0,04AE
1F,01,1,04AF
1F,02,0,04B0
1F,02,1,04B1
1F,03,0,04B2
1F,03,1,04B3
1F,04,0,04B4
1F,04,1,04B5
1F,05,0,04B6
1F,05,1,04B7
1F,06,0,04B8
1F,06,1,04B9
1F,07,0,04BA
1F,07,1,04BB
1F,08,0,04BC
1F,08,1,04BD
1F,09,0,04BE
1F,09,1,04BF
1F,0A,0,04C0
1F,0A,1,04C1
1F,0B,0,04C2
1F,0B,1,04C3
1F,0C,0,04C4
1F,0C,1,04C5
1F,0D,0,04C6
1F,0D,1,04C7
1F,0E,0,04C8
1F,0E,1,04C9
1F,0F,0,04CA
1F,0F,1,04CB
1F,10,0,04CC
1F,10,1,04CD
20,00,0,04CE
20,00,1,04CF
20,01,0,04D0
20,01,1,04D1
20,02,0,04D2
20,02,1,04D3
20,03,0,04D4
20,03,1,04D5
20,04,0,04D6
20,04,1,04D7
20,05,0,04D8
20,05,1,04D9
20,06,0,04DA
20,06,1,04DB
20,07,0,04DC
20,07,1,04DD
20,08,0,04DE
20,08,1,04DF
20,09,0,04E0
20,09,1,04E1
20,0A,0,04E2
20,0A,1,04E3
20,0B,0,04E4
20,0B,1,04E5
20,0C,0,04E6
20,0C,1,04E7
20,0D,0,04E8
20,0D,1,04E9
20,0E,0,04EA
20,0E,1,04EB
20,0F,0,04EC
20,0F,1,04ED
20,10,0,04EE
20,10,1,04EF
21,00,0,04F0
21,00,1,04F1
21,01,0,04F2
21,01,1,04F3
21,02,0,04F4
21,02,1,04F5
21,03,0,04F6
21,03,1,04F7
21,04,0,04F8
21,04,1,04F9
21,05,0,04FA
21,05,1,04FB
21,06,0,04FC
21,06,1,04FD
21,07,0,04FE
21,07,1,04FF
21,08,0,0500
21,08,1,0501
21,09,0,0502
21,09,1,0503
21,0A,0,0504
21,0A,1,0505
21,0B,0,0506
21,0B,1,0507
21,0C,0,0508
21,0C,1,0509
21,0D,0,050A
21,0D,1,050B
21,0E,0,050C
21,0E,1,050D
21,0F,0,050E
21,0F,1,050F
21,10,0,0510
21,10,1,0511
22,00,0,0512
22,00,1,0513
22,01,0,0514
22,01,1,0515
22,02,0,0516
22,02,1,0517
22,03,0,0518
22,03,1,0519
22,04,0,051A
22,04,1,051B
22,05,0,051C
22,05,1,051D
22,06,0,051E
22,06,1,051F
22,07,0,0520
22,07,1,0521
22,08,0,0522
22,08,1,0523
22,09,0,0524
22,09,1,0525
22,0A,0,0526
22,0A,1,0527
22,0B,0,0528
22,0B,1,0529
22,0C,0,052A
22,0C,1,052B
22,0D,0,052C
22,0D,1,052D
22,0E,0,052E
22,0E,1,052F
22,0F,0,0530
22,0F,1,0531
22,10,0,0532
22,10,1,0533
23,00,0,0534
23,00,1,0535
23,01,0,0536
23,01,1,0537
23,02,0,0538
23,02,1,0539
23,03,0,053A
23,03,1,053B
23,04,0,053C
23,04,1,053D
23,05,0,053E
23,05,1,053F
23,06,0,0540
